Id,Brand_Name,Generic_Name,Is_Opioid
2547,Opdualag,Nivolumab-Relatlimab-Rmbw,
2548,Anaprox Ds,Naproxen Sodium,
2549,Urelle,Methen/M-Blue/Sal/Na Phos/Hyos,
2550,Symax,Hyoscyamine Sulfate,
2551,Camrese,L-Norgest/E.Estradiol-E.Estrad,
2552,Makena,Hydroxyprogesterone Caproate,
2553,Dialyvite,Folic Acid/Vit B Complex And C,
2554,C-Nate Dha,Pnv 11/Iron Fum/Folic Acid/Om3,
2555,Drithocreme Hp,Anthralin,
2556,Hiberix,Haemoph B Poly Conj-Tet Tox/Pf,
2557,Pliaglis,Lidocaine/Tetracaine,
2558,Purevit Dualfe Plus,Iron Fum&polysac#1/Fa/Mv No.18,
2559,Sublimaze,Fentanyl Citrate/Pf,
2560,Somnote,Chloral Hydrate,
2561,Vinblastine Sulfate,Vinblastine Sulfate,
2562,Mustargen,Mechlorethamine Hcl,
2563,Foscavir,Foscarnet Sodium,
2564,Natelle One,"Pnv With Ca,no.70/Iron/Fa/Dha",
2565,Elite-Ob,"Iron,carbonyl/Fa/Multivit-Min",
2566,Ketodan,Ketoconazole,
2567,Azstarys,Serdexmethylphen/Dexmethylphen,
2568,Roszet,Ezetimibe/Rosuvastatin Calcium,
2569,Topcare Ultra Comfort,"Syring W-Ndl,disp,insul,0.3ml",
2570,Select-Ob + Dha,Prenatal Vits #33/Iron/Fa/Dha,
2571,Aubra,Levonorgestrel-Ethin Estradiol,
2572,Alburx,Albumin Human,
2573,Ulesfia,Benzyl Alcohol,
2574,Xerac Ac,Aluminum Chloride,
2575,Animi-3 With Vitamin D,Om-3/Dha/Epa/D3/B12/Fa/B-6/Phy,
2576,Citranatal Dha,"Pnv 76/Iron,gluc/Folic/Dss/Dha",
2577,Unifine Ultra Pen Needle,"Pen Needle, Diabetic",
2578,Tafluprost,Tafluprost/Pf,
2579,Pnv-Omega,Mv-Mins 71/Iron/Folic No.1/Dha,
2580,Easy Touch Insulin Syringe,"Syring W-Ndl,disp,insul,0.3ml",
2581,Folcaps Omega-3,Pnv W-Ca No.37/Iron/Fa/Omega-3,
2582,Ultracomfort,"Pen Needle, Diabetic",
2583,Doryx Mpc,Doxycycline Hyclate,
2584,Winrho Sdf,Rho(D) Immune Globulin/Maltose,
2585,Dextrose 5%-0.225% Nacl-Kcl,Potassium Chloride/D5-0.2%nacl,
2586,Onmel,Itraconazole,
2587,Prenaissance Plus,"Pnv69/Iron,carbonyl/Fa/Dss/Dha",
2588,Dolishale,Levonorgestrel/Ethin.Estradiol,
2589,Exel Insulin Syringe,"Syringe-Needle,insulin,0.5 Ml",
2590,L-Cysteine,Cysteine Hcl,
2591,Uta,Methen/M-Blue/Sal/Na Phos/Hyos,
2592,C-Nate Dha,Pnv 11-Iron Fum-Folic Acid-Om3,
2593,Droperidol,Droperidol,
2594,Healthy Accents Unifine Pentip,"Needles, Insulin Disp., Safety",
2595,Ssd Af,Silver Sulfadiazine,
2596,Tl Icon,Fe Fumarate/Vit C/B12-If/Fa,
2597,Tl G-Fol Os,Cal Carb/Mgox/D3/B12/Fa/B6/Bor,
2598,Jolessa,Levonorgestrel-Eth Estradiol,
2599,Norliqva,Amlodipine Besylate,
2600,Vasostrict,Vasopressin,
2601,Maxi-Comfort,"Syringe-Needle,insulin,0.5 Ml",
2602,Naproxen,Naproxen,
2603,Symbicort,Budesonide/Formoterol Fumarate,
2604,Ventolin Hfa,Albuterol Sulfate,
2605,Zolpidem Tartrate Er,Zolpidem Tartrate,
2606,Cymbalta,Duloxetine Hcl,
2607,Metformin Hcl,Metformin Hcl,
2608,Gemfibrozil,Gemfibrozil,
2609,Glipizide Er,Glipizide,
2610,Januvia,Sitagliptin Phosphate,
2611,Nifedipine Er,Nifedipine,
2612,Silver Sulfadiazine,Silver Sulfadiazine,
2613,Clobetasol Propionate,Clobetasol Propionate,
2614,Econazole Nitrate,Econazole Nitrate,
2615,Fluocinonide,Fluocinonide,
2616,Hydroxyzine Hcl,Hydroxyzine Hcl,
2617,Nystop,Nystatin,
2618,Metformin Hcl Er,Metformin Hcl,
2619,Spironolactone,Spironolactone,
2620,Tamiflu,Oseltamivir Phosphate,
2621,Torsemide,Torsemide,
2622,Fentanyl,Fentanyl,true
2623,Amlodipine-Atorvastatin,Amlodipine/Atorvastatin,
2624,Diclofenac Sodium,Diclofenac Sodium,
2625,Doxazosin Mesylate,Doxazosin Mesylate,
2626,Risperidone,Risperidone,
2627,Viagra,Sildenafil Citrate,
2628,Cephalexin,Cephalexin,
2629,Buspirone Hcl,Buspirone Hcl,
2630,Diphenoxylate-Atropine,Diphenoxylate Hcl/Atropine,
2631,Mometasone Furoate,Mometasone Furoate,
2632,Albuterol Sulfate,Albuterol Sulfate,
2633,Dorzolamide-Timolol,Dorzolamide Hcl/Timolol Maleat,
2634,Isosorbide Dinitrate,Isosorbide Dinitrate,
2635,Klor-Con M10,Potassium Chloride,
2636,Lumigan,Bimatoprost,
2637,Pradaxa,Dabigatran Etexilate Mesylate,
2638,Travatan Z,Travoprost,
2639,Zenpep,Lipase/Protease/Amylase,
2640,Irbesartan,Irbesartan,
2641,Butalbital-Acetaminophen-Caffe,Butalb/Acetaminophen/Caffeine,
2642,Clorazepate Dipotassium,Clorazepate Dipotassium,
2643,Orphenadrine Citrate,Orphenadrine Citrate,
2644,Colestipol Hcl,Colestipol Hcl,
2645,Labetalol Hcl,Labetalol Hcl,
2646,Prempro,"Estrogen,con/M-Progest Acet",
2647,Humulin 70-30,Hum Insulin Nph/Reg Insulin Hm,
2648,Letrozole,Letrozole,
2649,Tegretol Xr,Carbamazepine,
2650,Bupropion Xl,Bupropion Hcl,
2651,Pomalyst,Pomalidomide,
2652,Promacta,Eltrombopag Olamine,
2653,Sotalol,Sotalol Hcl,
2654,Testosterone Cypionate,Testosterone Cypionate,
2655,Lanoxin,Digoxin,
2656,Norvasc,Amlodipine Besylate,
2657,Proctosol-Hc,Hydrocortisone,
2658,Victoza 3-Pak,Liraglutide,
2659,Cerefolin Nac,Acetyl/Methyl-B12/Lmefolate Ca,
2660,Novofine,"Needles, Insulin Disposable",
2661,Revatio,Sildenafil Citrate,
2662,Azilect,Rasagiline Mesylate,
2663,Dorzolamide Hcl,Dorzolamide Hcl,
2664,Heparin Sodium,"Heparin Sodium,porcine",
2665,Dymista,Azelastine/Fluticasone,
2666,Humira,Adalimumab,
2667,Ribapak,Ribavirin,
2668,Victrelis,Boceprevir,
2669,Sulindac,Sulindac,
2670,Monurol,Fosfomycin Tromethamine,
2671,Naproxen Sodium,Naproxen Sodium,
2672,Tekturna,Aliskiren Hemifumarate,
2673,Pilocarpine Hcl,Pilocarpine Hcl,
2674,Byetta,Exenatide,
2675,Razadyne Er,Galantamine Hbr,
2676,Tolbutamide,Tolbutamide,
2677,Clarithromycin Er,Clarithromycin,
2678,Endocet,Oxycodone Hcl/Acetaminophen,true
2679,Hydrocortisone Valerate,Hydrocortisone Valerate,
2680,Promethazine-Codeine,Promethazine Hcl/Codeine,
2681,Amethyst,Levonorgestrel-Eth Estradiol,
2682,Doxy 100,Doxycycline Hyclate,
2683,Perforomist,Formoterol Fumarate,
2684,Neomycin-Polymyxin-Dexameth,Neo/Polymyx B Sulf/Dexameth,
2685,Carbatrol,Carbamazepine,
2686,Cardizem Cd,Diltiazem Hcl,
2687,Ampyra,Dalfampridine,
2688,Fluorometholone,Fluorometholone,
2689,Incivek,Telaprevir,
2690,Butalb-Caff-Acetaminoph-Codein,Butalbit/Acetamin/Caff/Codeine,true
2691,Fluphenazine Hcl,Fluphenazine Hcl,
2692,Dilantin,Phenytoin,
2693,Femhrt,Norethind Ac/Ethinyl Estradiol,
2694,Alprazolam Er,Alprazolam,
2695,Glucagen,"Glucagon,human Recombinant",
2696,Latuda,Lurasidone Hcl,
2697,Alcohol Swabs,Alcohol Antiseptic Pads,
2698,Jentadueto,Linagliptin/Metformin Hcl,
2699,Pennsaid,Diclofenac Sodium,
2700,Cimetidine,Cimetidine,
2701,Butorphanol Tartrate,Butorphanol Tartrate,true
2702,Terbutaline Sulfate,Terbutaline Sulfate,
2703,Felbatol,Felbamate,
2704,Rituxan,Rituximab,
2705,Zytiga,Abiraterone Acetate,
2706,Invega Sustenna,Paliperidone Palmitate,
2707,Relpax,Eletriptan Hbr,
2708,Armour Thyroid,"Thyroid,pork",
2709,Ultra Comfort,"Syring W-Ndl,disp,insul,0.5ml",
2710,Cardizem La,Diltiazem Hcl,
2711,Zovia 1-35e,Ethynodiol D-Ethinyl Estradiol,
2712,Fluphenazine Decanoate,Fluphenazine Decanoate,
2713,Famciclovir,Famciclovir,
2714,Depo-Testosterone,Testosterone Cypionate,
2715,Desipramine Hcl,Desipramine Hcl,
2716,Diflunisal,Diflunisal,
2717,Nitro-Dur,Nitroglycerin,
2718,Alimta,Pemetrexed Disodium,
2719,Mupirocin,Mupirocin Calcium,
2720,Actiq,Fentanyl Citrate,true
2721,Ak-Poly-Bac,Bacitracin/Polymyxin B Sulfate,
2722,Lamictal Odt,Lamotrigine,
2723,Fluocinolone Acetonide,Fluocinolone Acetonide,
2724,Exjade,Deferasirox,
2725,Itraconazole,Itraconazole,
2726,Rectiv,Nitroglycerin,
2727,Potassium Chloride,Pot Chloride/Pot Bicarb/Cit Ac,
2728,Prozac,Fluoxetine Hcl,
2729,Selenium Sulfide,Selenium Sulfide,
2730,Water,"Water For Irrigation,sterile",
2731,Budeprion Sr,Bupropion Hcl,
2732,Sure Comfort,"Syring W-Ndl,disp,insul,0.3ml",
2733,Cozaar,Losartan Potassium,
2734,Zocor,Simvastatin,
2735,Ceftriaxone,"Ceftriaxone Na/Dextrose,iso",
2736,Dextrose With Sodium Chloride,Dextrose 5 % And 0.9 % Nacl,
2737,Mycamine,Micafungin Sodium,
2738,Ambien Cr,Zolpidem Tartrate,
2739,Zirgan,Ganciclovir,
2740,Oxsoralen-Ultra,"Methoxsalen, Rapid",
2741,Neoral,"Cyclosporine, Modified",
2742,Vicodin Hp,Hydrocodone/Acetaminophen,true
2743,Sprintec,Norgestimate-Ethinyl Estradiol,
2744,Syeda,Ethinyl Estradiol/Drospirenone,
2745,Naltrexone Hcl,Naltrexone Hcl,
2746,Flomax,Tamsulosin Hcl,
2747,Fentanyl Citrate,Fentanyl Citrate,true
2748,Zovia 1-50e,Ethynodiol D-Ethinyl Estradiol,
2749,Norgestimate-Ethinyl Estradiol,Norgestimate-Ethinyl Estradiol,
2750,Prometrium,"Progesterone,micronized",
2751,Sodium Bicarbonate,Sodium Bicarbonate,
2752,Gabitril,Tiagabine Hcl,
2753,Lasix,Furosemide,
2754,Sulfazine,Sulfasalazine,
2755,Frova,Frovatriptan Succinate,
2756,Dentagel,Sodium Fluoride,
2757,Combivir,Lamivudine/Zidovudine,
2758,Reclipsen,Desogestrel-Ethinyl Estradiol,
2759,Geodon,Ziprasidone Mesylate,
2760,Vandazole,Metronidazole,
2761,Prilosec,Omeprazole,
2762,Stavzor,Valproic Acid,
2763,Danazol,Danazol,
2764,Extavia,Interferon Beta-1b,
2765,Arthrotec 50,Diclofenac Sodium/Misoprostol,
2766,Dextrose In Water,Dextrose 70 % In Water,
2767,Ziagen,Abacavir Sulfate,
2768,Pentazocine-Naloxone Hcl,Pentazocine Hcl/Naloxone Hcl,true
2769,Deferoxamine Mesylate,Deferoxamine Mesylate,
2770,Elixophyllin,Theophylline Anhydrous,
2771,Beconase Aq,Beclomethasone Dipropionate,
2772,Nexavar,Sorafenib Tosylate,
2773,Peg-3350,Sodium Chloride/Nahco3/Kcl/Peg,
2774,Premphase,"Estrogen,con/M-Progest Acet",
2775,Tolazamide,Tolazamide,
2776,Symlinpen 60,Pramlintide Acetate,
2777,Requip Xl,Ropinirole Hcl,
2778,Maxalt Mlt,Rizatriptan Benzoate,
2779,Cortisone Acetate,Cortisone Acetate,
2780,Vicodin,Hydrocodone/Acetaminophen,true
2781,Magnesium Sulfate,Magnesium Sulfate,
2782,Ziac,Bisoprolol Fumarate/Hctz,
2783,Apraclonidine Hcl,Apraclonidine Hcl,
2784,Valtrex,Valacyclovir Hcl,
2785,K Effervescent,Potassium Bicarbonate/Cit Ac,
2786,Sure-Prep Alcohol Prep Pads,Alcohol Antiseptic Pads,
2787,Remicade,Infliximab,
2788,Edluar,Zolpidem Tartrate,
2789,Mono-Linyah,Norgestimate-Ethinyl Estradiol,
2790,Promethazine Vc-Codeine,Promethazine/Phenyleph/Codeine,
2791,Mefloquine Hcl,Mefloquine Hcl,
2792,Dexmethylphenidate Hcl,Dexmethylphenidate Hcl,
2793,Celexa,Citalopram Hydrobromide,
2794,Midazolam Hcl,Midazolam Hcl/Pf,
2795,Amturnide,Aliskiren/Amlodipin/Hcthiazide,
2796,Betapace,Sotalol Hcl,
2797,Bactroban Nasal,Mupirocin Calcium,
2798,Corvita,Fa/Mu-Vits-Min Th/Lycopene/Lut,
2799,Depen,Penicillamine,
2800,Ogestrel,Norgestrel-Ethinyl Estradiol,
2801,Zelboraf,Vemurafenib,
2802,Sonata,Zaleplon,
2803,Depo-Medrol,Methylprednisolone Acetate,
2804,Webcol,Alcohol Antiseptic Pads,
2805,Cuprimine,Penicillamine,
2806,Estrostep Fe,Noreth A-Et Estra/Fe Fumarate,
2807,Robaxin-750,Methocarbamol,
2808,Griseofulvin Ultramicrosize,Griseofulvin Ultramicrosize,
2809,Imuran,Azathioprine,
2810,Folgard Rx,Cyanocobalamin/Fa/Pyridoxine,
2811,Butalbital-Aspirin-Caffeine,Butalbital/Aspirin/Caffeine,
2812,Safetyglide Insulin Syringe,"Syring W-Ndl,disp,insul,0.5ml",
2813,Amcinonide,Amcinonide,
2814,Estarylla,Norgestimate-Ethinyl Estradiol,
2815,Colyte With Flavor Packets,"Peg 3350/Na Sulf,bicarb,cl/Kcl",
2816,Kariva,Desog-E.Estradiol/E.Estradiol,
2817,Persantine,Dipyridamole,
2818,Tropicamide,Tropicamide,
2819,Ultra-Thin Ii,"Syring W-Ndl,disp,insul,0.5ml",
2820,Methitest,Methyltestosterone,
2821,Zipsor,Diclofenac Potassium,
2822,Multigen Plus,Iron Fum & Ag/C/B12/Fa/Ca/Succ,
2823,Fluconazole In Saline,"Fluconazole In Nacl,iso-Osm",
2824,Hematinic With Folic Acid,Ferrous Fumarate/Folic Acid,
2825,Flumazenil,Flumazenil,
2826,Fentora,Fentanyl Citrate,true
2827,Ultra-Thin Ii,"Syringe & Needle,insulin,1 Ml",
2828,Cleocin Phosphate,Clindamycin Phosphate,
2829,Penicillin Gk-Iso-Osm Dextrose,Pen G Pot/Dextrose-Water,
2830,Lorcet 10-650,Hydrocodone/Acetaminophen,true
2831,Trelstar,Triptorelin Pamoate,
2832,Avandia,Rosiglitazone Maleate,
2833,Ortho-Cyclen,Norgestimate-Ethinyl Estradiol,
2834,Qualaquin,Quinine Sulfate,
2835,Generess Fe,Noreth-Ethinyl Estradiol/Iron,
2836,Dermatop,Prednicarbate,
2837,Vol-Plus,"Pnv With Ca,no.71/Iron/Fa",
2838,Clindamycin Phos-Benzoyl Perox,Clindamycin Phos/Benzoyl Perox,
2839,Cortifoam,Hydrocortisone Acetate,
2840,Alocril,Nedocromil Sodium,
2841,Halaven,Eribulin Mesylate,
2842,Irinotecan Hcl,Irinotecan Hcl,
2843,Casodex,Bicalutamide,
2844,Atrovent,Ipratropium Bromide,
2845,Oxecta,Oxycodone Hcl,true
2846,Junel,Norethindrone Ac-Eth Estradiol,
2847,Potassium Citrate Er,Potassium Citrate,
2848,Diclofenac Sodium Er,Diclofenac Sodium,
2849,Propranolol Hcl Er,Propranolol Hcl,
2850,Easy Touch Pen Needle,"Needles, Insulin Disposable",
2851,Autoshield Duo Pen Needle,"Pen Needle, Diabetic, Safety",
2852,Cytotec,Misoprostol,
2853,Gildess Fe,Norethindrone-E.Estradiol-Iron,
2854,Betamethasone Acetate-Sod Phos,Betamet Acet/Betamet Na Ph,
2855,Celestone,Betamet Acet/Betamet Na Ph,
2856,Autoshield Pen Needle,"Needles, Insulin Disp., Safety",
2857,Prenatal Vitamins Low Iron,"Pnv With Ca,no.72/Iron/Fa",
2858,Doxercalciferol,Doxercalciferol,
2859,Trivora-28,Levonorgestrel-Ethin Estradiol,
2860,Fetzima,Levomilnacipran Hydrochloride,
2861,Renal Caps,B Complex & C No.20/Folic Acid,
2862,Sulfamide,Sulfacetamide Sodium,
2863,Trokendi Xr,Topiramate,
2864,Coartem,Artemether/Lumefantrine,
2865,Mitomycin,Mitomycin,
2866,Harvoni,Ledipasvir/Sofosbuvir,
2867,Testosterone,Testosterone,
2868,Zorvolex,Diclofenac Submicronized,
2869,Comfort Ez,"Syring W-Ndl,disp,insul,0.3 Ml",
2870,Moderiba,Ribavirin,
2871,Daraprim,Pyrimethamine,
2872,Rescula,Unoprostone Isopropyl,
2873,Prevident 5000 Sensitive,Sodium Fluoride/Potassium Nit,
2874,Ultra-Thin Ii,"Syring W-Ndl,disp,insul,0.5 Ml",
2875,Carbaglu,Carglumic Acid,
2876,Ortho-Novum,Norethindrone-Ethinyl Estrad,
2877,Gattex,Teduglutide,
2878,Evamist,Estradiol,
2879,Regranex,Becaplermin,
2880,Anzemet,Dolasetron Mesylate,
2881,Zohydro Er,Hydrocodone Bitartrate,true
2882,Clocortolone Pivalate,Clocortolone Pivalate,
2883,Hydrocortisone Butyrate,Hydrocortisone Butyrate/Emoll,
2884,Bosulif,Bosutinib,
2885,Tabloid,Thioguanine,
2886,Relion Pen Needles,"Needles, Insulin Disposable",
2887,Bydureon Pen,Exenatide Microspheres,
2888,Levonorgestrel-Eth Estradiol,Levonorgestrel-Ethin Estradiol,
2889,Astagraf Xl,Tacrolimus,
2890,Atralin,Tretinoin,
2891,Xenical,Orlistat,
2892,Univasc,Moexipril Hcl,
2893,Questran,Cholestyramine (With Sugar),
2894,Focalin,Dexmethylphenidate Hcl,
2895,Cortisporin-Tc,Neomy Sulf/Colist Sul/Hc/Thonz,
2896,Amoxicillin-Clavulanate Potass,Amoxicillin/Potassium Clav,
2897,Memantine Hcl,Memantine Hcl,
2898,Novofine Autocover,"Pen Needle, Diabetic, Safety",
2899,Unifine Pentips,"Pen Needle, Diabetic",
2900,Digitek,Digoxin,
2901,Valganciclovir Hcl,Valganciclovir Hcl,
2902,Natacyn,Natamycin,
2903,Humulin R U-500,"Insulin Regular, Human",
2904,Dutasteride,Dutasteride,
2905,Jardiance,Empagliflozin,
2906,Insumed,"Syring W-Ndl,disp,insul,0.3 Ml",
2907,Easy Touch Insulin Safety,"Syringe,needle,insuln,safe,1ml",
2908,Novofine,"Pen Needle, Diabetic",
2909,Guanfacine Hcl Er,Guanfacine Hcl,
2910,Humalog Mix 50-50 Kwikpen,Insulin Lispro Protamin/Lispro,
2911,Pazeo,Olopatadine Hcl,
2912,Humalog Mix 50-50,Insulin Lispro Protamin/Lispro,
2913,Maxipime,Cefepime Hcl,
2914,Cancidas,Caspofungin Acetate,
2915,Sodium Phenylbutyrate,Sodium Phenylbutyrate,
2916,Cytarabine,Cytarabine/Pf,
2917,Insupen,"Pen Needle, Diabetic",
2918,Movantik,Naloxegol Oxalate,
2919,Amerge,Naratriptan Hcl,
2920,Grastek,"Grass Pollen-Timothy, Standard",
2921,Ruconest,"C1 Esterase Inhibitor, Recomb",
2922,Cortisporin-Tc,Neomycin Su/Colist/Hc/Thonzon,
2923,Sandostatin,Octreotide Acetate,
2924,Novofine Plus,"Pen Needle, Diabetic",
2925,Easy Touch Insulin Syringe,"Syringe And Needle,insulin,1ml",
2926,Infanrix Dtap,"Diph,pertuss(Acell),tet Ped/Pf",
2927,Asmanex Hfa,Mometasone Furoate,
2928,Striverdi Respimat,Olodaterol Hcl,
2929,Nalfon,Fenoprofen Calcium,
2930,Kerydin,Tavaborole,
2931,Entocort Ec,Budesonide,
2932,Chenodal,Chenodiol,
2933,Pyridostigmine Bromide Er,Pyridostigmine Bromide,
2934,Sarafem,Fluoxetine Hcl,
2935,Urin D.S.,Mth/Me Blue/Sod Phos/Phen/Hyos,
2936,Comfort Ez,"Syringe And Needle,insulin,1ml",
2937,Potassium Citrate-Citric Acid,Potassium Citrate/Citric Acid,
2938,Belbuca,Buprenorphine Hcl,true
2939,Truvada,Emtricitabine/Tenofovir (Tdf),
2940,Praluent Pen,Alirocumab,
2941,Galantamine Er,Galantamine Hbr,
2942,Progesterone,"Progesterone, Micronized",
2943,Ulticare Pen Needle,"Pen Needle, Diabetic",
2944,Odefsey,Emtricitab/Rilpiviri/Tenof Ala,
2945,Stribild,Elviteg/Cobi/Emtric/Tenofo Dis,
2946,Tresiba Flextouch U-200,Insulin Degludec,
2947,Tresiba Flextouch U-100,Insulin Degludec,
2948,Armodafinil,Armodafinil,
2949,Humulin R U-500 Kwikpen,"Insulin Regular, Human",
2950,Vraylar,Cariprazine Hcl,
2951,Narcan,Naloxone Hcl,
2952,Epclusa,Sofosbuvir/Velpatasvir,
2953,Zometa,Zoledronic Acid/Mannitol-Water,
2954,Ulticare,"Syring-Needl,disp,insul,0.3 Ml",
2955,Trezix,Acetaminophen/Caff/Dihydrocod,true
2956,Procto-Med Hc,Hydrocortisone,
2957,Comfort Ez,"Syringe-Needle,insulin,0.5 Ml",
2958,Dolophine Hcl,Methadone Hcl,true
2959,Zepatier,Elbasvir/Grazoprevir,
2960,Urin D.S.,Meth/Meblue/Sod Phos/Psal/Hyos,
2961,Proglycem,Diazoxide,
2962,Tobramycin,Tobramycin In 0.225% Nacl,
2963,Monoject Insulin Syringe,"Syring-Needl,disp,insul,0.3 Ml",
2964,Yuvafem,Estradiol,
2965,Bexarotene,Bexarotene,
2966,Clinimix E,Aa 5 %/Calcium/Lytes/Dext 15 %,
2967,Levalbuterol Tartrate Hfa,Levalbuterol Tartrate,
2968,Tofranil,Imipramine Hcl,
2969,Clindamycin Palmitate Hcl,Clindamycin Palmitate Hcl,
2970,Xylocaine,Lidocaine Hcl,
2971,Rasagiline Mesylate,Rasagiline Mesylate,
2972,Rayaldee,Calcifediol,
2973,Ezetimibe-Simvastatin,Ezetimibe/Simvastatin,
2974,Mitigare,Colchicine,
2975,Exforge,Amlodipine Besylate/Valsartan,
2976,Isosorbide Dinitrate Er,Isosorbide Dinitrate,
2977,Typhim Vi,Typhoid Vi Polysacch Vaccine,
2978,Aprepitant,Aprepitant,
2979,Prenatal Vitamin Plus Low Iron,"Pnv,calcium 72/Iron/Folic Acid",
2980,Levofloxacin-D5w,Levofloxacin In Dextrose 5 %,
2981,Sivextro,Tedizolid Phosphate,
2982,Ciprofloxacin-D5w,Ciprofloxacin In 5 % Dextrose,
2983,Synjardy Xr,Empagliflozin/Metformin Hcl,
2984,Multivitamins W-Fluoride-Iron,Pedi Multivit 45/Fluoride/Iron,
2985,Techlite Pen Needle,"Pen Needle, Diabetic",
2986,Acetamin-Caff-Dihydrocodeine,Acetaminophen/Caff/Dihydrocod,
2987,Kisqali,Ribociclib Succinate,
2988,Maxi-Comfort,"Syringe And Needle,insulin,1ml",
2989,Taltz Syringe,Ixekizumab,
2990,Blincyto,Blinatumomab,
2991,Comfort Ez Pen Needle,"Pen Needle, Diabetic",
2992,Paroxetine Mesylate,Paroxetine Mesylate,
2993,Folbee Plus,Folic Acid/Vit B Complex And C,
2994,Neo-Polycin Hc,Neomycin/Bacit/P-Myx/Hydrocort,
2995,Rydapt,Midostaurin,
2996,Ocrevus,Ocrelizumab,
2997,Vol-Plus,Multivit-Mins60/Iron Fum/Folic,
2998,Tremfya,Guselkumab,
2999,Ulticare Insulin Syringe,"Syringe-Needle,insulin,0.5 Ml",
3000,Isibloom,Desogestrel-Ethinyl Estradiol,
3001,Tri-Lo-Sprintec,Norgestimate-Ethinyl Estradiol,
3002,Stamaril,Yellow Fever Vaccine Live/Pf,
3003,Palonosetron Hcl,Palonosetron Hcl,
3004,Dextrose In Water,Dextrose 10 % In Water,
3005,Virt-Nate,"Prenatal Vit,cal 73/Iron/Folic",
3006,Imfinzi,Durvalumab,
3007,Olumiant,Baricitinib,
3008,Targadox,Doxycycline Hyclate,
3009,Albuterol Sulfate Hfa,Albuterol Sulfate,
3010,Solifenacin Succinate,Solifenacin Succinate,
3011,Ambrisentan,Ambrisentan,
3012,Xhance,Fluticasone Propionate,
3013,Febuxostat,Febuxostat,
3014,Ajovy Syringe,Fremanezumab-Vfrm,
3015,Humira(Cf),Adalimumab,
3016,Avycaz,Ceftazidime/Avibactam,
3017,Se-Natal-19,Pnv 119/Iron Fum/Folic Acid,
3018,Envarsus Xr,Tacrolimus,
3019,Enpresse,Levonorgestrel/Ethin.Estradiol,
3020,Arikayce,Amikacin Liposomal/Neb.Accessr,
3021,Pirmella,Norethindrone-Ethin. Estradiol,
3022,Carospir,Spironolactone,
3023,Evenity (2 Syringes),Romosozumab-Aqqg,
3024,Dovato,Dolutegravir Sodium/Lamivudine,
3025,Prenatal 19,Prenat 115/Iron Fum/Folic/Dss,
3026,Cyclobenzaprine Hcl Er,Cyclobenzaprine Hcl,
3027,Erlotinib Hcl,Erlotinib Hcl,
3028,Panzyga,Immun Glob G(Igg)-Ifas/Glycine,
3029,Diastat,Diazepam,
3030,Flurandrenolide,Flurandrenolide,
3031,Deferasirox,Deferasirox,
3032,Lillow,Levonorgestrel/Ethin.Estradiol,
3033,Ec-Naproxen,Naproxen,
3034,Amphetamine Sulfate,Amphetamine Sulfate,
3035,Libtayo,Cemiplimab-Rwlc,
3036,Procysbi,Cysteamine Bitartrate,
3037,Prenate Elite,Prenatal 114/Iron A-G/Folate 1,
3038,Derma-Smoothe-Fs,Fluocinolone Acetonide,
3039,Trivora-28,Levonorgestrel/Ethin.Estradiol,
3040,Rybelsus,Semaglutide,
3041,Insulin Lispro Protamine Mix,Insulin Lispro Protamin/Lispro,
3042,Dotti,Estradiol,
3043,Delstrigo,Doravirine/Lamivu/Tenofov Diso,
3044,Tibsovo,Ivosidenib,
3045,Posaconazole,Posaconazole,
3046,Nexletol,Bempedoic Acid,
3047,Novolin R Flexpen,"Insulin Regular, Human",
3048,Sure Comfort Insulin Syringe,"Syringe-Needle,insulin,0.5 Ml",
3049,Caplyta,Lumateperone Tosylate,
3050,Ultracare Insulin Syringe,"Syringe-Needle,insulin,0.5 Ml",
3051,Diuril,Chlorothiazide,
3052,Vabomere,Meropenem/Vaborbactam,
3053,Bexsero,"Meningococcal B Vaccine,4-Comp",
3054,Gardasil 9,Hpv Vaccine 9-Valent/Pf,
3055,Cholbam,Cholic Acid,
3056,Lucemyra,Lofexidine Hcl,
3057,Isotretinoin,Isotretinoin,
3058,Macrobid,Nitrofurantoin Monohyd/M-Cryst,
3059,Vyepti,Eptinezumab-Jjmr,
3060,Nerlynx,Neratinib Maleate,
3061,Vp-Pnv-Dha,Prenatal No.52/Iron/Fa/Dha,
3062,Ayvakit,Avapritinib,
3063,Gastrocrom,Cromolyn Sodium,
3064,Larin 24 Fe,Norethindrone-E.Estradiol-Iron,
3065,Budesonide Dr,Budesonide,
3066,Rufinamide,Rufinamide,
3067,Droxidopa,Droxidopa,
3068,Cequr Simplicity,"Bolus Insulin Pump, 200 Unit",
3069,Kanjinti,Trastuzumab-Anns,
3070,Nitazoxanide,Nitazoxanide,
3071,Reltone,Ursodiol,
3072,Xospata,Gilteritinib Fumarate,
3073,Sodium Fluoride Sensitive,Sodium Fluoride/Potassium Nit,
3074,Hydroxyprogesterone Caproate,Hydroxyprogesterone Caproat/Pf,
3075,Rheumate,Levomefolate/B12/Herb 236,
3076,Sapropterin Dihydrochloride,Sapropterin Dihydrochloride,
3077,Aurovela Fe,Norethindrone-E.Estradiol-Iron,
3078,Rezurock,Belumosudil Mesylate,
3079,Vyfemla,Norethindrone-Ethin. Estradiol,
3080,Mycapssa,Octreotide Acetate,
